,id,title,price,num_rooms,total_area,latitude,longitude,extras,Typology,Extra_Rooms,Extra_Rooms_Flag,N_Rooms,Total_N_Rooms,Price,Area_m2,N_Extras,Extras_Flag,Latitude,Longitude,Com elevador,Com garagem,De luxo,Rés do chão,Último andar,Vista para mar,Piscina,Ajuda,Alcântara,Alvalade,Areeiro,Arroios,Avenidas Novas,Beato,Belém,Benfica,Campo de Ourique,Campolide,Carnide,Estrela,Lumiar,Marvila,Misericórdia,Olivais,Parque das Nações,Penha de França,Santa Clara,Santa Maria Maior,Santo António,São Domingos de Benfica,São Vicente,Apartamento,Casa,Duplex,Flat,Loft,Moradia,Palacete,Penthouse,Quinta,stations_within_1.5km,cultural_fac_within_1.5km,edu_within_1.5km
380,380,"Apartamento T4 na Avenida 24 de Julho, Misericórdia, Lisboa",4.100.000 €,4 quartos,Área bruta 278 m²,"38,7080344419","-9,1452920437","De luxo, Com elevador",T4,0,0,4,4,4100000,278,2,1,38.7080344419,-9.1452920437,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,91.0,23.0
382,382,"Apartamento T4 em Parque das Nações, Lisboa",3.000.000 €,4 quartos,Área bruta 276 m²,"38,7615511583","-9,0982289493","De luxo, Com elevador, Com garagem",T4,0,0,4,4,3000000,276,3,1,38.7615511583,-9.0982289493,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,11.0
389,389,"Apartamento T1 em Ajuda, Lisboa",198.000 €,1 quarto,Área bruta 53 m²,"38,7085283499","-9,193904671", ,T1,0,0,1,1,198000,53,0,0,38.7085283499,-9.193904671,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,33.0,28.0
391,391,"Apartamento T2 na Rua Angelina Vidal, Penha de França, Lisboa",299.900 €,2 quartos,Área bruta 51 m²,"38,72301","-9,13139", ,T2,0,0,2,2,299900,51,0,0,38.72301,-9.13139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,63.0,32.0
396,396,"Moradia em Banda T2 em Estrada de Benfica, Benfica, Lisboa",248.000 €,2 quartos,Área bruta 75 m²,"38,75307","-9,20844", ,em,0,0,2,2,248000,75,0,0,38.75307,-9.20844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,13.0
399,399,"Apartamento T4 em Parque das Nações, Lisboa",3.000.000 €,4 quartos,Área bruta 244 m²,"38,7616255","-9,0974298",De luxo,T4,0,0,4,4,3000000,244,1,1,38.7616255,-9.0974298,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,10.0
402,402,"Apartamento T2+1 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",419.900 €,2 quartos,Área bruta 50 m²,"38,74677","-9,169", ,T2+1,1,1,2,3,419900,50,0,0,38.74677,-9.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.0,30.0,44.0
403,403,"Apartamento T2 em São Vicente, Lisboa",500.000 €,2 quartos,Área bruta 85 m²,"38,718725","-9,12478", ,T2,0,0,2,2,500000,85,0,0,38.718725,-9.12478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0,47.0,23.0
408,408,"Apartamento T2 na Rua Luciano Cordeiro, Santo António, Lisboa",415.000 €,2 quartos,Área bruta 70 m²,"38,72544","-9,14431",Com elevador,T2,0,0,2,2,415000,70,1,1,38.72544,-9.14431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16.0,78.0,34.0
409,409,"Apartamento T6 em Estrela, Lisboa",6.900.000 €,6 quartos,Área bruta 857 m²,"38,7108078","-9,159079","De luxo, Com garagem",T6,0,0,6,6,6900000,857,2,1,38.7108078,-9.159079,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,73.0,28.0
410,410,"Apartamento T2 em Santo António, Lisboa",1.100.000 €,2 quartos,Área bruta 146 m²,"38,7214907","-9,1489660838", ,T2,0,0,2,2,1100000,146,0,0,38.7214907,-9.1489660838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14.0,97.0,31.0
411,411,"Penthouse T1 em Travessa da Palmeira, Misericórdia, Lisboa",550.000 €,1 quarto,Área bruta 53 m²,"38,7141","-9,15037",Com elevador,T1,0,0,1,1,550000,53,1,1,38.7141,-9.15037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0,103.0,35.0
413,413,"Apartamento T2 em Estrada de Chelas, Beato, Lisboa",219.000 €,2 quartos,Área bruta 68 m²,"38,73338","-9,1174", ,T2,0,0,2,2,219000,68,0,0,38.73338,-9.1174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,10.0,16.0
417,417,"Apartamento T2 Triplex em Santa Maria Maior, Lisboa",665.000 €,2 quartos,Área bruta 85 m²,"38,710004","-9,136026",Com elevador,T2,0,0,2,2,665000,85,1,1,38.710004,-9.136026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10.0,76.0,21.0
418,418,"Apartamento T3 na Rua Sebastião Saraiva Lima, Penha de França, Lisboa",295.000 €,3 quartos,Área bruta 95 m²,"38,73155","-9,12878",Rés do chão,T3,0,0,3,3,295000,95,1,1,38.73155,-9.12878,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,18.0,26.0
421,421,"Duplex T1+1 Duplex na Rua da Praia de Pedrouços, Belém, Lisboa",318.000 €,1 quarto,Área bruta 84 m²,"38,69452","-9,21772", ,T1+1,1,1,1,2,318000,84,0,0,38.69452,-9.21772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,15.0,12.0
427,427,"Moradia T9 na Rua do Sítio Ao Casalinho da Ajuda, Ajuda, Lisboa",595.500 €,9 quartos,Área bruta 48 m²,"38,71151","-9,19231", ,T9,0,0,9,9,595500,48,0,0,38.71151,-9.19231,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,18.0,23.0
428,428,"Apartamento T1 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",479.200 €,1 quarto,Área bruta 59 m²,"38,73559","-9,15133","Com elevador, Com garagem",T1,0,0,1,1,479200,59,2,1,38.73559,-9.15133,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0,52.0,36.0
429,429,"Apartamento T3 em Campo Grande, Alvalade, Lisboa",985.000 €,3 quartos,Área bruta 137 m²,"38,74684","-9,1410675","Piscina, Com elevador",T3,0,0,3,3,985000,137,2,1,38.74684,-9.1410675,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,36.0,43.0
435,435,"Apartamento T1 em Campo de Ourique, Lisboa",599.000 €,1 quarto,Área bruta 72 m²,"38,7154897","-9,1679303",Com garagem,T1,0,0,1,1,599000,72,1,1,38.7154897,-9.1679303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,44.0,26.0
