,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
477,477,"Apartamento T2 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",837.400 €,2 quartos,Área bruta 115 m²,"38,73559","-9,15133",Avenidas Novas,"Com elevador, Com garagem"
478,478,"Apartamento T4 Duplex em Avenidas Novas, Lisboa",2.695.000 €,4 quartos,Área bruta 207 m²,"38,74049","-9,150863",Avenidas Novas,"De luxo, Com elevador"
479,479,"Apartamento T2 na Rua dos Baldaques, Penha de França, Lisboa",349.000 €,2 quartos,Área bruta 63 m²,"38,73383","-9,12943",Penha de França, 
480,480,"Apartamento T3 em Parque das Nações, Lisboa",2.200.000 €,3 quartos,Área bruta 172 m²,"38,7616174776","-9,0982584679",Parque das Nações,"De luxo, Com elevador, Com garagem"
481,481,"Apartamento T1 na Avenida Infante Santo, Estrela, Lisboa",470.000 €,1 quarto,Área bruta 56 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
482,482,"Apartamento T2 em Benfica, Lisboa",200.000 €,2 quartos,Área bruta 53 m²,"38,7463655","-9,2058271",Benfica,Rés do chão
483,483,"Duplex T1+1 Duplex na Rua da Praia de Pedrouços, Belém, Lisboa",318.000 €,1 quarto,Área bruta 84 m²,"38,69452","-9,21772",Belém, 
484,484,"Apartamento T1 em Avenidas Novas, Lisboa",475.000 €,1 quarto,Área bruta 55 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
485,485,"Apartamento T2 em Alcântara, Lisboa",840.000 €,2 quartos,Área bruta 112 m²,"38,7022222","-9,1757009",Alcântara,"Rés do chão, Com elevador, Com garagem"
486,486,"Apartamento T2+1 em Estrela, Lisboa",985.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
487,487,"Apartamento T2 em Areeiro, Lisboa",366.000 €,2 quartos,Área bruta 75 m²,"38,74525","-9,13827",Areeiro, 
488,488,"Apartamento T2+2 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",419.900 €,2 quartos,Área bruta 50 m²,"38,74677","-9,169",São Domingos de Benfica, 
489,489,"Apartamento T4 na Rua Dom Jorge da Costa, Belém, Lisboa",1.900.000 €,4 quartos,Área bruta 281 m²,"38,7104896","-9,2077422",Belém,"Com elevador, Com garagem"
490,490,"Apartamento T3 em Parque das Nações, Lisboa",2.050.000 €,3 quartos,Área bruta 162 m²,"38,7616927","-9,0973332",Parque das Nações,De luxo
491,491,"Apartamento T1 em Praça da Armada, Estrela, Lisboa",250.000 €,1 quarto,Área bruta 41 m²,"38,7049487","-9,1707527",Estrela,Rés do chão
492,492,"Apartamento T4 em Parque das Nações, Lisboa",3.000.000 €,4 quartos,Área bruta 276 m²,"38,7615511583","-9,0982289493",Parque das Nações,"De luxo, Com elevador, Com garagem"
493,493,"Apartamento T1+1 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",349.900 €,1 quarto,Área bruta 45 m²,"38,74677","-9,169",São Domingos de Benfica,Rés do chão
494,494,"Apartamento T1 em Estrela, Lisboa",410.000 €,1 quarto,Área bruta 56 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
495,495,"Apartamento T1 na Rua dos Arneiros, Benfica, Lisboa",269.900 €,1 quarto,Área bruta 81 m²,"38,75171","-9,2009",Benfica, 
496,496,"Apartamento T2+1 em Estrela, Lisboa",810.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
497,497,"Apartamento T2 em São Vicente, Lisboa",399.900 €,2 quartos,Área útil 70 m²,"38,71847","-9,129592",São Vicente, 
498,498,"Apartamento T4 em Belém, Lisboa",2.025.000 €,4 quartos,Área bruta 281 m²,"38,710654","-9,207782",Belém,"De luxo, Vista para mar, Com elevador, Com garagem"
499,499,"Apartamento T2 na Rua dos Douradores, Santa Maria Maior, Lisboa",760.000 €,2 quartos,Área bruta 109 m²,"38,7100043","-9,136026",Santa Maria Maior,Com elevador
500,500,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",845.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
501,501,"Apartamento T2 na Avenida Duque de Loulé, Arroios, Lisboa",740.000 €,2 quartos,Área bruta 100 m²,"38,7281575","-9,1446399",Arroios, 
502,502,"Apartamento T2 em Benfica, Lisboa",299.900 €,2 quartos,Área bruta 60 m²,"38,75118","-9,20819",Benfica,Rés do chão
503,503,"Apartamento T3 em Belém, Lisboa",2.500.000 €,3 quartos,Área bruta 186 m²,"38,6944330246","-9,2109203339",Belém,"De luxo, Vista para mar, Com garagem"
504,504,"Apartamento T3 em Avenidas Novas, Lisboa",1.237.000 €,3 quartos,Área bruta 142 m²,"38,74049","-9,150863",Avenidas Novas,Com elevador
505,505,"Apartamento T1 em Estrela, Lisboa",490.000 €,1 quarto,Área bruta 56 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
