,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
492,492,"Apartamento T1 em Estrela, Lisboa",168.000 €,1 quarto,Área bruta 38 m²,"38,708004","-9,158073",Estrela, 
493,493,"Apartamento T2 na Avenida Dom João II, Parque das Nações, Lisboa",650.000 €,2 quartos,Área bruta 118 m²,"38,77093","-9,09819",Parque das Nações,"Com elevador, Com garagem"
494,494,"Apartamento T3 em São Vicente, Lisboa",238.000 €,3 quartos,Área bruta 52 m²,"38,7172729","-9,1276921",São Vicente, 
495,495,"Loft T1 em Misericórdia, Lisboa",830.000 €,1 quarto,Área bruta 143 m²,"38,7108727","-9,147001",Misericórdia,Com garagem
496,496,"Apartamento T2 em Campolide, Lisboa",1.285.000 €,2 quartos,Área bruta 172 m²,"38,7383455","-9,1686254",Campolide,"Com elevador, Com garagem"
497,497,"Apartamento T3 na Avenida de Madrid, Areeiro, Lisboa",885.000 €,3 quartos,Área bruta 145 m²,"38,7435997","-9,1348541",Areeiro,"Com elevador, Com garagem"
498,498,"Apartamento T2 em Largo do Terreiro do Trigo, Santa Maria Maior, Lisboa",710.000 €,2 quartos,Área bruta 122 m²,"38,71433","-9,13237",Santa Maria Maior,Com elevador
499,499,"Apartamento T1 em São Vicente, Lisboa",280.000 €,1 quarto,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
500,500,"Apartamento T2 em Ajuda, Lisboa",474.000 €,2 quartos,Área bruta 137 m²,"38,7097","-9,19395",Ajuda,"Rés do chão, Com elevador, Com garagem"
501,501,"Apartamento T4 em Penha de França, Lisboa",475.000 €,4 quartos,Área bruta 105 m²,"38,7318763","-9,1269799",Penha de França, 
502,502,"Apartamento T3 em Penha de França, Lisboa",399.000 €,3 quartos,Área bruta 95 m²,"38,7298766","-9,1300448",Penha de França, 
503,503,"Apartamento T1 em São Vicente, Lisboa",250.000 €,1 quarto,Área bruta 58 m²,"38,7206496","-9,1243871",São Vicente, 
504,504,"Apartamento T3 em Lumiar, Lisboa",615.000 €,3 quartos,Área bruta 135 m²,"38,7675904792","-9,1645563042",Lumiar, 
505,505,"Apartamento T1 em Estrada de Benfica, São Domingos de Benfica, Lisboa",279.900 €,1 quarto,Área bruta 38 m²,"38,74487","-9,17992",São Domingos de Benfica,"Com elevador, Com garagem"
506,506,"Apartamento T2 em São Vicente, Lisboa",450.000 €,2 quartos,Área bruta 76 m²,"38,7176844","-9,125231",São Vicente,Com elevador
507,507,"Apartamento T2 em Santa Maria Maior, Lisboa",2.000.000 €,2 quartos,Área bruta 255 m²,"38,7079","-9,14076",Santa Maria Maior,"De luxo, Com elevador"
508,508,"Apartamento T2 na Rua Dom Carlos de Mascarenhas, Campolide, Lisboa",576.000 €,2 quartos,Área bruta 73 m²,"38,7283874","-9,162635",Campolide,Com elevador
509,509,"Apartamento T2 em Calçada da Picheleira, Beato, Lisboa",185.000 €,2 quartos,Área bruta 46 m²,"38,7388284","-9,1197415",Beato, 
510,510,"Apartamento T1 em Santa Maria Maior, Lisboa",179.900 €,1 quarto,Área bruta 43 m²,"38,7156090324","-9,1326705219",Santa Maria Maior, 
511,511,"Apartamento T2 em São Vicente, Lisboa",315.000 €,2 quartos,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
512,512,"Apartamento T4 na Rua Dom Jorge da Costa, Belém, Lisboa",1.975.000 €,4 quartos,Área bruta 269 m²,"38,71051","-9,20843",Belém, 
513,513,"Apartamento T4 em Santo António, Lisboa",3.225.000 €,4 quartos,Área bruta 346 m²,"38,7185488","-9,1541898",Santo António,"Piscina, Com elevador, Com garagem"
514,514,"Apartamento T3 na Rua Engenheiro Ferry Borges, Carnide, Lisboa",529.000 €,3 quartos,Área bruta 135 m²,"38,76824","-9,18508",Carnide,"Com elevador, Com garagem"
515,515,"Apartamento T3 em Avenidas Novas, Lisboa",1.320.000 €,3 quartos,Área bruta 121 m²,"38,74052","-9,14882",Avenidas Novas,"Com elevador, Com garagem"
516,516,"Apartamento T4 na Rua Dom Jorge da Costa, Belém, Lisboa",1.375.000 €,4 quartos,Área bruta 278 m²,"38,71051","-9,20843",Belém, 
