,Name,Area,GlobalID,geometry,Access,Stage
46,Escola Básica Fernanda de Castro,Estrela,5ccdf8c4-0936-4caa-a9d8-1380532c414e,POINT (-9.17114905393992 38.70923394331),Private,First
47,Escola Básica de Vale de Alcântara,Campo de Ourique,74f8db45-4382-4de1-81d5-f7bd62d027f2,,Private,First
48,Escola Básica Manuel da Maia,Campo de Ourique,eff394e5-aff5-45cb-92a4-31f11cefa90c,POINT (-9.17024807709183 38.7178674438094),Private,First
49,Escola Básica Mestre Querubim Lapa,Campolide,7bbda568-3ca7-453b-8f89-b65be07a8fde,POINT (-9.16231889540637 38.7327470208806),Private,First
50,Escola Básica Mestre Arnaldo Louro de Almeida,Avenidas Novas,6a79086a-a2e8-4f03-a300-626cc0b040e2,POINT (-9.15605384703805 38.7453311827895),Private,First
51,Escola Básica N.º 1 de Lisboa,Arroios,774dcd28-0b69-4b96-8c73-537553f5917f,POINT (-9.13826470227522 38.7202753924606),Private,First
52,Escola Básica Sampaio Garrido,Arroios,df1c25b5-48fe-4d86-9096-bc647a07e68f,POINT (-9.13210438963445 38.7261123591569),Private,First
53,Escola Básica Arquitecto Victor Palla,Penha de França,bcfad435-930f-45a0-b461-17f19b496316,POINT (-9.12499503560416 38.7266175892799),Private,First
54,Escola Básica Pintor Almada Negreiros ,Santa Clara,5092700d-3a77-4d04-b760-b147e874bf55,POINT (-9.14430871202998 38.7777564917861),Private,First
55,Escola Básica da Alta de Lisboa,Santa Clara,c6913aa0-26f9-4367-ad95-ffbcf484cf66,POINT (-9.1499699145424 38.7827060318613),Private,First
56,Escola Básica Viscondessa dos Olivais,Olivais,19e93156-dea8-455d-9beb-74801fd22be9,POINT (-9.10618144196747 38.7697829273775),Private,First
57,Escola Básica Paulino Montez,Olivais,bfe8a69a-e1aa-4b07-99c0-378c2fdd4720,POINT (-9.11844432032362 38.7743938639179),Private,First
58,Escola Básica de Santa Maria dos Olivais,Olivais,1e493e89-44d8-49f7-976b-25bcdc1c4da0,POINT (-9.11639101146085 38.7763035061294),Private,First
59,Escola Básica do Lumiar,Lumiar,c5a18983-0c6d-4557-96f9-674e1097ce6b,POINT (-9.16825774334278 38.7673481401389),Private,First
60,Jardim de Infância de Telheiras,Lumiar,09dbf06b-c25e-4ab6-a059-873c8ec1d5eb,POINT (-9.17041508399342 38.7601509692613),Private,First
61,Escola Básica da Luz/Carnide,Carnide,3b894bbb-a05e-4784-8a60-174c70a64c52,POINT (-9.18658728620504 38.7593560715372),Private,First
62,Escola Básica D. Luís da Cunha,Alvalade,e7eba2a9-cdc4-44b8-8e2b-b8afb4e8bcc2,POINT (-9.16730744434181 38.7561910180827),Private,First
63,Escola Básica de São Vicente/Telheiras ,Lumiar,64b9312b-83c3-43a0-b416-0926902614a9,POINT (-9.17362162589107 38.7594926987228),Private,First
64,Escola Básica Prista Monteiro,Carnide,d08cac12-96b8-4c93-9056-602ea6f223f2,POINT (-9.18209732814018 38.765972395256),Private,First
65,Jardim de Infância da Horta Nova,Carnide,450b044c-6514-440c-afa7-37d7ad3d6bd8,POINT (-9.18192024484465 38.7655455707195),Private,First
